,Emission
IT700,622.076666666667
UK16,507.109878283801
UK377,423.288370784505
UK316,445.143244896092
322,644.0
69,365.0
103,386.0
239,338.0
UK13,701.477748596256
IT730,603.299333333333
UK25,675.27983736911
UK70,431.790591971917
IT696,466.334090909091
IT770,631.522435897436
398,555.0
UK379,346.904520304326
633,418.0
116_c,437.51
IT627,357.015350877193
UK182,564.389007056625
UK32,417.707976208871
IT453,275.833333333333
699,336.0
159,442.0
IT718,336.697771672772
705,409.0
UK82,443.986820580474
IT660,456.306862745098
UK244,561.640036352829
IT422,269.633333333333
628,334.0
516,371.0
UK89,348.339959989195
221,483.0
UK161,384.331821672207
IT784,480.304385964912
685,315.0
IT437,235.566666666667
UK72,578.707929632416
305,451.0
117_c,319.51
315,383.0
IT577,230.82
212,373.0
UK389,341.437969862353
IT716,409.238095238095
187,299.0
144,336.0
238,376.0
UK209,412.12564012
402,371.0
645,393.0
IT574,402.142857142857
UK167,396.911240425357
IT438,182.66875
711,403.0
205,418.0
140_c,378.51
241,332.0
03_J,628.0
469,374.0
IT526,320.261688311688
IT440,255.778125
UK69,390.464015851934
IT425,318.225833333333
IT713,450.5
IT497,476.416893424036
UK58,389.080437337734
426,340.0
IT484,442.355882352941
IT477,401.872222222222
170_c,383.51
404,376.0
155_c,502.51
727,400.0
13_J,606.0
192,390.0
620,445.0
UK133,455.61959378418
UK2,432.434984277338
70,362.0
382,388.0
IT485,455.805555555556
14_J,511.0
IT554,312.552941176471
481,341.0
UK213,441.057486962884
IT651,352.084259259259
161,401.0
228,336.0
137,385.0
515,344.0
735,392.0
UK189,518.742318125472
252,393.0
IT761,490.747142857143
UK146,363.133397501067
414,409.0
230,299.0
UK339,396.616231021851
76,365.0
IT418,314.035087719298
UK141,400.942798467152
466,447.0
UK197,452.351132038194
IT707,496.595238095238
UK42,425.248573364932
198,382.0
767,388.0
IT556,392.357291666667
285,417.0
UK304,418.297548729224
328,451.0
655,429.0
IT509,361.181818181818
UK177,478.688201796914
IT542,388.59375
UK222,344.587270846382
UK303,333.089409559447
IT687,355.875
IT466,260.803921568627
IT427,387.588541666667
130,414.0
IT1009,582.061333333333
UK297,337.59481197472
210,349.0
17_J,557.0
226,357.0
UK354,377.06042474
248,406.0
UK326,360.448307970878
177,562.0
UK0,403.375693411887
82,418.0
362,284.0
IT426,234.679487179487
IT433,235.222549019608
IT691,457.763157894737
UK172,523.987300468067
UK396,475.625165950035
IT731,559.018115942029
UK229,386.818993530153
148,398.0
IT592,177.623714285714
700,346.0
474,469.0
674,373.0
UK215,455.320217608232
IT538,323.382352941176
UK28,492.922327883639
168,316.0
772,328.0
651,344.0
165,347.0
425,321.0
202_c,433.51
147_c,468.51
120,299.0
654,361.0
IT1011,582.260317460317
UK162,383.508795316398
IT492,563.479166666667
353,317.0
UK394,313.152447450106
