sample_id Sequencing_Instrument Sequencing_Batch herd Lactatation days_in_milk methane_grams_per_day
150_c 2 7 6 5 252 488.51
119 1 1 1 3 85 296
234 1 2 1 2 75 329
89 1 1 1 1 34 369
90 1 1 1 1 70 415
91 1 1 1 2 105 339
92 1 1 1 2 82 403
93 1 1 1 2 68 445
94 1 1 1 2 84 430
95 1 1 1 2 76 418
96 1 1 1 1 72 467
97 1 1 1 1 96 324
98 1 1 1 1 73 448
99 1 1 1 2 71 340
235 1 2 1 1 115 370
100 1 1 1 1 99 322
101 1 1 1 1 45 424
576 2 6 1 1 79 506
102 1 1 1 1 39 351
103 1 1 1 1 75 386
104 1 1 1 1 26 309
105 1 1 1 1 27 450
537 1 4 1 1 24 413
106 1 1 1 1 57 334
107 1 1 1 1 71 508
108 1 1 1 1 48 488
109 1 1 1 1 69 375
111 1 1 1 1 17 430
563 1 4 1 1 28 471
112 1 1 1 1 27 302
113 1 1 1 1 20 325
114 1 1 1 1 64 395
115 1 1 1 1 24 481
116 1 1 1 1 37 420
117 1 1 1 1 13 414
610 2 10 1 1 25 341
603 2 10 1 1 29 460
574 2 6 1 1 13 374
614 2 10 1 1 16 536
578 2 6 1 1 22 350
590 2 6 1 1 14 515
601 2 10 1 1 19 360
553 1 4 1 1 18 462
596 2 10 1 1 49 486
575 2 6 1 1 59 461
597 2 10 1 1 46 311
538 1 4 1 1 46 402
547 1 4 1 1 31 416
534 1 4 1 1 29 452
595 2 10 1 1 43 427
529 1 4 1 1 33 450
587 2 6 1 1 36 435
609 2 10 1 1 56 357
604 2 10 1 1 54 312
122 1 1 1 5 55 360
123 1 1 1 4 144 307
125 1 1 1 4 51 371
126 1 1 1 4 102 340
127 1 1 1 4 71 316
128 1 1 1 3 162 300
129 1 1 1 4 61 408
130 1 1 1 4 118 414
131 1 1 1 3 18 347
132 1 1 1 2 398 343
133 1 1 1 1 618 381
134 1 1 1 4 78 390
135 1 1 1 3 156 297
136 1 1 1 4 82 339
137 1 1 1 4 77 385
138 1 1 1 4 91 374
139 1 1 1 4 50 328
141 1 1 1 3 52 369
142 1 1 1 4 93 294
143 1 1 1 3 97 325
144 1 1 1 4 139 336
145 1 1 1 3 5 460
146 1 1 1 3 139 332
147 1 1 1 3 206 380
148 1 1 1 4 50 398
150 1 1 1 4 55 399
151 1 1 1 4 115 342
202 1 2 1 4 99 380
153 1 2 1 3 88 328
154 1 2 1 3 44 434
155 1 2 1 3 91 317
156 1 2 1 3 100 376
157 1 2 1 4 31 360
158 1 2 1 3 100 376
159 1 2 1 3 64 442
160 1 2 1 4 33 382
161 1 2 1 3 16 401
163 1 2 1 3 17 439
164 1 2 1 3 95 397
165 1 2 1 3 101 347
166 1 2 1 2 200 288
167 1 2 1 2 119 349
168 1 2 1 3 26 316
169 1 2 1 3 44 459
170 1 2 1 4 97 326
171 1 2 1 3 84 491
172 1 2 1 4 63 418
173 1 2 1 3 91 333
174 1 2 1 3 100 329
176 1 2 1 3 57 371
177 1 2 1 4 75 562
178 1 2 1 3 135 319
179 1 2 1 3 62 351
180 1 2 1 3 40 419
181 1 2 1 3 73 401
182 1 2 1 2 126 406
185 1 2 1 3 33 436
186 1 2 1 3 93 513
187 1 2 1 3 74 299
188 1 2 1 3 55 307
191 1 2 1 2 96 418
192 1 2 1 3 65 390
193 1 2 1 3 71 331
194 1 2 1 2 142 325
195 1 2 1 2 219 342
196 1 2 1 3 72 357
197 1 2 1 3 50 461
198 1 2 1 3 308 382
199 1 2 1 2 20 333
200 1 2 1 3 31 419
201 1 2 1 2 137 317
152 1 1 1 3 99 329
203 1 2 1 3 92 438
204 1 2 1 2 95 385
205 1 2 1 3 138 418
207 1 2 1 3 79 350
589 2 6 1 3 18 385
208 1 2 1 2 43 330
209 1 2 1 3 27 292
210 1 2 1 3 52 349
211 1 2 1 3 73 354
212 1 2 1 3 54 373
213 1 2 1 3 35 487
214 1 2 1 2 42 396
215 1 2 1 3 33 354
216 1 2 1 3 78 381
217 1 2 1 3 64 343
219 1 2 1 3 52 358
220 1 2 1 2 99 331
221 1 2 1 2 40 483
222 1 2 1 2 93 381
223 1 2 1 3 109 404
224 1 2 1 2 48 340
225 1 2 1 3 84 413
226 1 2 1 3 42 357
227 1 2 1 2 87 585
228 1 2 1 2 88 336
229 1 2 1 2 84 375
230 1 2 1 2 87 299
231 1 2 1 2 25 359
232 1 2 1 2 27 375
536 1 4 1 2 3 403
572 2 6 1 2 87 364
50 1 1 1 2 36 446
51 1 1 1 1 198 315
52 1 1 1 2 56 442
53 1 1 1 2 49 454
54 1 1 1 2 102 475
55 1 1 1 2 32 333
233 1 2 1 2 25 357
56 1 1 1 2 31 318
57 1 1 1 2 49 391
58 1 1 1 2 25 382
59 1 1 1 1 207 390
567 1 4 1 2 52 360
60 1 1 1 1 183 462
61 1 1 1 2 56 427
62 1 1 1 2 78 337
63 1 1 1 2 30 392
64 1 1 1 2 29 331
65 1 1 1 2 29 382
66 1 1 1 2 77 336
67 1 1 1 2 29 434
598 2 10 1 2 85 442
68 1 1 1 2 64 520
69 1 1 1 2 23 365
70 1 1 1 2 43 362
71 1 1 1 2 58 451
72 1 1 1 2 51 347
73 1 1 1 2 48 421
74 1 1 1 2 21 424
75 1 1 1 2 90 342
76 1 1 1 2 51 365
77 1 1 1 1 103 376
78 1 1 1 2 54 363
79 1 1 1 2 39 305
80 1 1 1 2 56 424
82 1 1 1 2 62 418
83 1 1 1 2 94 453
84 1 1 1 2 65 441
85 1 1 1 1 51 423
86 1 1 1 1 102 365
87 1 1 1 1 88 422
362 1 5 2 4 77 284
238 1 2 2 5 58 376
239 1 2 2 2 317 338
240 1 2 2 4 26 468
241 1 2 2 3 70 332
242 1 2 2 4 77 377
243 1 2 2 4 8 371
244 1 2 2 3 60 318
245 1 2 2 3 41 413
246 1 2 2 4 35 358
247 1 2 2 3 61 366
248 1 2 2 3 43 406
250 1 2 2 3 68 331
251 1 2 2 3 27 363
252 1 2 2 3 15 393
253 1 2 2 1 435 302
254 1 2 2 3 72 315
255 1 2 2 3 22 337
256 1 2 2 4 84 317
257 1 2 2 3 109 310
258 1 2 2 3 62 468
259 1 5 2 3 88 346
261 1 5 2 3 18 327
262 1 5 2 2 133 334
263 1 5 2 3 56 417
264 1 5 2 3 83 345
265 1 5 2 3 38 379
266 1 5 2 3 54 551
267 1 5 2 3 92 402
270 1 5 2 2 18 294
272 1 5 2 3 35 336
273 1 5 2 2 85 361
275 1 5 2 2 38 342
277 1 5 2 3 39 334
278 1 5 2 2 49 398
279 1 5 2 2 33 423
280 1 5 2 2 87 446
281 1 5 2 3 72 417
282 1 5 2 2 78 382
283 1 5 2 2 82 504
284 1 5 2 2 110 321
285 1 5 2 3 80 417
286 1 5 2 3 79 372
287 1 5 2 2 79 518
288 1 5 2 3 77 428
289 1 5 2 2 70 367
290 1 5 2 2 25 426
291 1 5 2 2 57 364
292 1 5 2 2 53 341
293 1 5 2 2 50 567
294 1 5 2 2 11 400
295 1 5 2 2 50 402
296 1 5 2 2 67 445
297 1 5 2 2 52 430
299 1 5 2 2 63 338
300 1 5 2 2 14 363
301 1 5 2 2 49 462
302 1 5 2 1 207 449
303 1 5 2 2 7 514
304 1 5 2 2 114 439
305 1 5 2 2 71 451
307 1 5 2 2 59 360
309 1 5 2 1 106 349
310 1 5 2 2 64 435
311 1 5 2 1 123 408
312 1 5 2 2 65 427
313 1 5 2 2 52 440
314 1 5 2 2 38 373
315 1 5 2 1 116 383
316 1 5 2 1 68 448
317 1 5 2 1 55 316
318 1 5 2 2 54 409
319 1 5 2 2 61 387
320 1 5 2 1 17 376
322 1 5 2 2 63 644
323 1 5 2 1 45 292
324 1 5 2 1 47 366
325 1 5 2 1 104 345
326 1 5 2 1 76 465
327 1 5 2 1 80 333
328 1 5 2 2 78 451
329 1 5 2 1 82 424
330 1 5 2 1 83 420
331 1 5 2 1 81 455
332 1 5 2 1 65 494
333 1 5 2 1 85 334
334 1 5 2 1 62 359
335 1 5 2 1 50 423
336 1 5 2 1 74 315
337 1 5 2 1 58 406
338 1 5 2 1 64 365
339 1 5 2 1 34 474
340 1 5 2 1 17 388
341 1 5 2 1 43 416
342 1 5 2 1 49 347
343 1 5 2 1 22 332
344 1 5 2 1 31 349
345 1 5 2 1 43 302
346 1 5 2 1 39 423
347 1 5 2 1 23 464
348 1 5 2 1 35 386
349 1 5 2 1 36 490
350 1 5 2 1 16 332
