study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB28065	ERP110230	SAMEA4815957	ERS2635854	ERX2737839	ERR2724070	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	649827	391195854	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_396_c	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_396_c	run_NG-8305_396_c	83244331;96502581	27a2c9dc7b95d5999765049a1598ce53;6e08efa47cd63fa8c071dbf90ece7754	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/000/ERR2724070/ERR2724070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/000/ERR2724070/ERR2724070_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/000/ERR2724070/ERR2724070_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/000/ERR2724070/ERR2724070_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/000/ERR2724070/ERR2724070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/000/ERR2724070/ERR2724070_2.fastq.gz	64246877;74091809	fecb71507c44b07893322d411e6dafc5;f398f325e6297136b7529459bba3892a	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724070/NG-8305_396_c_lib82110_4017_2_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724070/NG-8305_396_c_lib82110_4017_2_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724070/NG-8305_396_c_lib82110_4017_2_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724070/NG-8305_396_c_lib82110_4017_2_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724070/NG-8305_396_c_lib82110_4017_2_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724070/NG-8305_396_c_lib82110_4017_2_2.fastq.bz2	FASTQ;FASTQ	229880211	3ab0e9c133de0add7c5b5fd8ed9c5349	ftp.sra.ebi.ac.uk/vol1/err/ERR272/000/ERR2724070	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/000/ERR2724070	ftp.sra.ebi.ac.uk/vol1/err/ERR272/000/ERR2724070				NG-8305_396_c		Cattle rumen microbiota for NG-8305_396_c	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815957	ERS2635854	ERX2737839	ERR2724071	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	687887	414107974	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_396_c	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_396_c	run_NG-8305_396_c2	121677853;123303580	5d5e6dede783b14cf8303c3b84a2f5d7;484502f09ca66051888162a53bdaefb2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/001/ERR2724071/ERR2724071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/001/ERR2724071/ERR2724071_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/001/ERR2724071/ERR2724071_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/001/ERR2724071/ERR2724071_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/001/ERR2724071/ERR2724071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/001/ERR2724071/ERR2724071_2.fastq.gz	89510378;92748645	6b4f3d7acf050c3542f7c1a0d2230307;a63719f40d7fc95249e6a8d3daa84a33	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724071/NG-8305_396_c_lib80626_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724071/NG-8305_396_c_lib80626_4017_1_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724071/NG-8305_396_c_lib80626_4017_1_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724071/NG-8305_396_c_lib80626_4017_1_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724071/NG-8305_396_c_lib80626_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724071/NG-8305_396_c_lib80626_4017_1_2.fastq.bz2	FASTQ;FASTQ	253618396	6382206f93384ad96bf38dcc65ebb84a	ftp.sra.ebi.ac.uk/vol1/err/ERR272/001/ERR2724071	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/001/ERR2724071	ftp.sra.ebi.ac.uk/vol1/err/ERR272/001/ERR2724071				NG-8305_396_c		Cattle rumen microbiota for NG-8305_396_c	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815958	ERS2635855	ERX2737840	ERR2724072	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	505254	304162908	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_374_c	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_374_c	run_NG-8305_374_c	63390275;72851423	469fe1c92066a0bca784e03b4173f6e7;d11f176823f8da1d28607b54016c8e0d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/002/ERR2724072/ERR2724072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/002/ERR2724072/ERR2724072_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/002/ERR2724072/ERR2724072_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/002/ERR2724072/ERR2724072_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/002/ERR2724072/ERR2724072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/002/ERR2724072/ERR2724072_2.fastq.gz	49062015;56165700	4f07ebfbc044a7838953c35301a7408f;cfc9d9ecafb69f1391b89114b6bf6698	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724072/NG-8305_374_c_lib82088_4017_2_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724072/NG-8305_374_c_lib82088_4017_2_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724072/NG-8305_374_c_lib82088_4017_2_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724072/NG-8305_374_c_lib82088_4017_2_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724072/NG-8305_374_c_lib82088_4017_2_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724072/NG-8305_374_c_lib82088_4017_2_2.fastq.bz2	FASTQ;FASTQ	177272647	18bc9572cf0c749cb4772e6040df1ce7	ftp.sra.ebi.ac.uk/vol1/err/ERR272/002/ERR2724072	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/002/ERR2724072	ftp.sra.ebi.ac.uk/vol1/err/ERR272/002/ERR2724072				NG-8305_374_c		Cattle rumen microbiota for NG-8305_374_c	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815958	ERS2635855	ERX2737840	ERR2724073	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	657886	396047372	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_374_c	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_374_c	run_NG-8305_374_c2	116417182;117681350	8daf94bc6fd34a217ad68e7e7e7f68f0;c2f491ea907ebe2eba76654f527a384a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/003/ERR2724073/ERR2724073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/003/ERR2724073/ERR2724073_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/003/ERR2724073/ERR2724073_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/003/ERR2724073/ERR2724073_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/003/ERR2724073/ERR2724073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/003/ERR2724073/ERR2724073_2.fastq.gz	85483834;88409921	3ab69072a1a1f466e3e7fbc2802fe8eb;fd806afba79158d311d8a052971e50c5	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724073/NG-8305_374_c_lib80604_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724073/NG-8305_374_c_lib80604_4017_1_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724073/NG-8305_374_c_lib80604_4017_1_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724073/NG-8305_374_c_lib80604_4017_1_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724073/NG-8305_374_c_lib80604_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724073/NG-8305_374_c_lib80604_4017_1_2.fastq.bz2	FASTQ;FASTQ	242857424	d1c7f54b282ad80ae7415c7595adaa7d	ftp.sra.ebi.ac.uk/vol1/err/ERR272/003/ERR2724073	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/003/ERR2724073	ftp.sra.ebi.ac.uk/vol1/err/ERR272/003/ERR2724073				NG-8305_374_c		Cattle rumen microbiota for NG-8305_374_c	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815959	ERS2635856	ERX2737841	ERR2724074	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	749972	451483144	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_575_lib80585	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_575_lib80585	run_NG-8305_575_lib80585	126549506;130802709	d1e032c5763adc92e8ee29579b1260ea;3bed8fa059e90df0e6b438a039da4790	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/004/ERR2724074/ERR2724074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/004/ERR2724074/ERR2724074_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/004/ERR2724074/ERR2724074_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/004/ERR2724074/ERR2724074_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/004/ERR2724074/ERR2724074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/004/ERR2724074/ERR2724074_2.fastq.gz	93611990;98867421	07ed9deca8e2172d31ba227449f71f89;28ba88814084a8b9db393c1a8b4b1a53	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724074/NG-8305_575_lib80585_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724074/NG-8305_575_lib80585_4017_1_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724074/NG-8305_575_lib80585_4017_1_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724074/NG-8305_575_lib80585_4017_1_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724074/NG-8305_575_lib80585_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724074/NG-8305_575_lib80585_4017_1_2.fastq.bz2	FASTQ;FASTQ	276032412	70056d62131fbae45f9718f39beb72e4	ftp.sra.ebi.ac.uk/vol1/err/ERR272/004/ERR2724074	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/004/ERR2724074	ftp.sra.ebi.ac.uk/vol1/err/ERR272/004/ERR2724074				NG-8305_575_lib80585		Cattle rumen microbiota for NG-8305_575_lib80585	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815960	ERS2635857	ERX2737842	ERR2724075	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	691109	416047618	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_657_lib82151	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_657_lib82151	run_NG-8305_657_lib82151	87820190;102288342	1613e514f1c9fa16d1ba9735f6c11bed;557f9c7d6b03ec4b01b3bd8dfada6c88	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/005/ERR2724075/ERR2724075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/005/ERR2724075/ERR2724075_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/005/ERR2724075/ERR2724075_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/005/ERR2724075/ERR2724075_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/005/ERR2724075/ERR2724075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/005/ERR2724075/ERR2724075_2.fastq.gz	68079896;79016312	4d63b9f3d7173c5fc3dd1e35c1621d06;60e9e9c88afb1d14bf9f7d1c4e964d1b	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724075/NG-8305_657_lib82151_4017_2_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724075/NG-8305_657_lib82151_4017_2_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724075/NG-8305_657_lib82151_4017_2_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724075/NG-8305_657_lib82151_4017_2_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724075/NG-8305_657_lib82151_4017_2_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724075/NG-8305_657_lib82151_4017_2_2.fastq.bz2	FASTQ;FASTQ	245174926	9ea183cb569cc97348b7ebe37d01dbc1	ftp.sra.ebi.ac.uk/vol1/err/ERR272/005/ERR2724075	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/005/ERR2724075	ftp.sra.ebi.ac.uk/vol1/err/ERR272/005/ERR2724075				NG-8305_657_lib82151		Cattle rumen microbiota for NG-8305_657_lib82151	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815961	ERS2635858	ERX2737843	ERR2724076	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	681332	410161864	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_580_lib80590	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_580_lib80590	run_NG-8305_580_lib80590	119918441;123527437	4f2f4b205e53dfdcf0263797a87f11c3;41383c12e92dae02780cddaacf4e7df3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/006/ERR2724076/ERR2724076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/006/ERR2724076/ERR2724076_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/006/ERR2724076/ERR2724076_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/006/ERR2724076/ERR2724076_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/006/ERR2724076/ERR2724076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/006/ERR2724076/ERR2724076_2.fastq.gz	88385769;93086057	1b58992e959797d13d16d4e16d73707a;277d6ee9dcca2042c66dec43ba06bbe2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724076/NG-8305_580_lib80590_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724076/NG-8305_580_lib80590_4017_1_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724076/NG-8305_580_lib80590_4017_1_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724076/NG-8305_580_lib80590_4017_1_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724076/NG-8305_580_lib80590_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724076/NG-8305_580_lib80590_4017_1_2.fastq.bz2	FASTQ;FASTQ	252072320	58e1a94aea4f295eb47b9e39377b154f	ftp.sra.ebi.ac.uk/vol1/err/ERR272/006/ERR2724076	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/006/ERR2724076	ftp.sra.ebi.ac.uk/vol1/err/ERR272/006/ERR2724076				NG-8305_580_lib80590		Cattle rumen microbiota for NG-8305_580_lib80590	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815962	ERS2635859	ERX2737844	ERR2724077	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	479761	288816122	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_652_lib82146	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_652_lib82146	run_NG-8305_652_lib82146	58495576;68325355	89a0b2f7ce5edc569fe4b4e5fd3477ff;69eafabe57c289c79129524a1d59d7c0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/007/ERR2724077/ERR2724077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/007/ERR2724077/ERR2724077_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/007/ERR2724077/ERR2724077_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/007/ERR2724077/ERR2724077_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/007/ERR2724077/ERR2724077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/007/ERR2724077/ERR2724077_2.fastq.gz	45159533;52468844	e3759912411e20abcfae4b10b98bc8bd;f26b3126a93e34c2ee96f145cdf4913a	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724077/NG-8305_652_lib82146_4017_2_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724077/NG-8305_652_lib82146_4017_2_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724077/NG-8305_652_lib82146_4017_2_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724077/NG-8305_652_lib82146_4017_2_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724077/NG-8305_652_lib82146_4017_2_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724077/NG-8305_652_lib82146_4017_2_2.fastq.bz2	FASTQ;FASTQ	167597695	a828faf2244b11cfd29771f787c5105e	ftp.sra.ebi.ac.uk/vol1/err/ERR272/007/ERR2724077	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/007/ERR2724077	ftp.sra.ebi.ac.uk/vol1/err/ERR272/007/ERR2724077				NG-8305_652_lib82146		Cattle rumen microbiota for NG-8305_652_lib82146	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815963	ERS2635860	ERX2737845	ERR2724078	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	557962	335893124	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_646_lib80656	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_646_lib80656	run_NG-8305_646_lib80656	101362029;102113961	90e70946bba32deaba65fbdee759a4a8;a9b42871a1fb9df4122eb7ec55cfb106	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/008/ERR2724078/ERR2724078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/008/ERR2724078/ERR2724078_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/008/ERR2724078/ERR2724078_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/008/ERR2724078/ERR2724078_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/008/ERR2724078/ERR2724078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/008/ERR2724078/ERR2724078_2.fastq.gz	75028572;77007423	7afba0f4e663ef868887b917eae64c48;d27085386420553ef42f1e9be3292e02	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724078/NG-8305_646_lib80656_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724078/NG-8305_646_lib80656_4017_1_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724078/NG-8305_646_lib80656_4017_1_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724078/NG-8305_646_lib80656_4017_1_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724078/NG-8305_646_lib80656_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724078/NG-8305_646_lib80656_4017_1_2.fastq.bz2	FASTQ;FASTQ	206847374	061d3037699abce0dbd3df4947b69535	ftp.sra.ebi.ac.uk/vol1/err/ERR272/008/ERR2724078	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/008/ERR2724078	ftp.sra.ebi.ac.uk/vol1/err/ERR272/008/ERR2724078				NG-8305_646_lib80656		Cattle rumen microbiota for NG-8305_646_lib80656	0	2018-08-03
PRJEB28065	ERP110230	SAMEA4815964	ERS2635861	ERX2737846	ERR2724079	ERA1556445	1284369	stomach metagenome	ILLUMINA	Illumina HiSeq 2500		230	PAIRED	AMPLICON	METAGENOMIC	PCR	677365	407773730	Center for Quantitative Genetics and Genomics	2018-09-20	2018-11-16	Illumina HiSeq 2500 paired end sequencing; 16S sequencing of the stomach fluid of NG-8305_584_lib80594	16S rRNA sequence of rumen microbes in dairy cattle	REMRUM	16S for NG-8305_584_lib80594	run_NG-8305_584_lib80594	122374652;124277459	7203e41bbaa664d89628644b08b41d9f;ba257da31071f21509be5cbcd132d5df	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/009/ERR2724079/ERR2724079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/009/ERR2724079/ERR2724079_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/009/ERR2724079/ERR2724079_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR272/009/ERR2724079/ERR2724079_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/009/ERR2724079/ERR2724079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR272/009/ERR2724079/ERR2724079_2.fastq.gz	90382958;93498574	aaef75c4dc3d0704d2f12b506883d0cb;d8d4a3d83730d700bd6316f35f74a225	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724079/NG-8305_584_lib80594_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724079/NG-8305_584_lib80594_4017_1_2.fastq.bz2	fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724079/NG-8305_584_lib80594_4017_1_1.fastq.bz2;fasp.sra.ebi.ac.uk:/vol1/run/ERR272/ERR2724079/NG-8305_584_lib80594_4017_1_2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724079/NG-8305_584_lib80594_4017_1_1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR272/ERR2724079/NG-8305_584_lib80594_4017_1_2.fastq.bz2	FASTQ;FASTQ	250790758	9d5555584840a01fa1d40eb65bf0e1a9	ftp.sra.ebi.ac.uk/vol1/err/ERR272/009/ERR2724079	fasp.sra.ebi.ac.uk:/vol1/err/ERR272/009/ERR2724079	ftp.sra.ebi.ac.uk/vol1/err/ERR272/009/ERR2724079				NG-8305_584_lib80594		Cattle rumen microbiota for NG-8305_584_lib80594	0	2018-08-03
